Rk.,Player,Year,HR,SO,BB,SLG
229," Sandberg, Ryne",1985,26,97,57,0.504
230," Ripken Jr., Cal",1985,26,68,67,0.469
231," Winfield, Dave",1985,26,96,52,0.471
232," Murray, Eddie",1990,26,64,82,0.52
233," Mondesi, Raul",1995,26,96,33,0.496
234," Ventura, Robin",1995,26,98,75,0.498
235," Caminiti, Ken",1995,26,94,69,0.513
236," Chavez, Eric",2000,26,94,62,0.495
237," Rolen, Scott",2000,26,99,51,0.551
238," Klesko, Ryan",2000,26,81,91,0.516
239," Gibbons, Jay",2005,26,56,28,0.516
240," Biggio, Craig",2005,26,90,37,0.468
241," Tejada, Miguel",2005,26,83,40,0.515
242," Lane, Jason",2005,26,105,32,0.499
243," Huff, Aubrey",2010,26,91,83,0.506
244," Johnson, Kelly",2010,26,148,79,0.496
245," Hill, Aaron",2010,26,85,41,0.394
246," Quentin, Carlos",2010,26,83,50,0.479
247," Napoli, Mike",2010,26,137,42,0.468
248," Granderson, Curtis",2015,26,151,91,0.457
249," McCann, Brian",2015,26,97,52,0.437
250," Upton, Justin",2015,26,159,68,0.454
251," Bruce, Jay",2015,26,145,58,0.434
252," Seager, Kyle",2015,26,98,54,0.451
253," Bryant, Kris",2015,26,199,77,0.488
254," Pederson, Joc",2015,26,170,92,0.417
255," Calhoun, Kole",2015,26,164,45,0.422
256," Foster, George",1980,25,99,75,0.473
257," Perez, Tony",1980,25,93,41,0.467
258," Hendrick, George",1980,25,67,32,0.498
259," Cooper, Cecil",1980,25,42,39,0.539
260," Barfield, Jesse",1990,25,150,82,0.456
261," Sabo, Chris",1990,25,58,61,0.476
262," Thome, Jim",1995,25,113,97,0.558
263," Conine, Jeff",1995,25,94,66,0.52
264," Carter, Joe",1995,25,87,37,0.428
265," Lankford, Ray",1995,25,110,63,0.513
266," Alfonzo, Edgardo",2000,25,70,95,0.542
267," Abreu, Bobby",2000,25,116,100,0.554
268," Erstad, Darin",2000,25,82,64,0.541
269," Valentin, Jose",2000,25,106,59,0.491
270," Mench, Kevin",2005,25,68,50,0.469
271," Blalock, Hank",2005,25,132,51,0.431
